,n_pyth,alpha,partition coefficient,fukuyama sugeno index,xie beni index,silhouette score,adjusted rand score,adjusted mutual info score,homogeneity,completeness,v measure
35,1,0.7428571428571429,0.9613816156030195,-212.43259533094272,0.411374523733249,0.4750841436089524,0.7290932656628284,0.7003989341280535,0.7031917758878812,0.6998219092297683,0.7015027955557863
36,1,0.7612244897959184,0.93498378430089,-256.7453023165693,0.3586982379686901,0.47864209775377736,0.7338451202249635,0.7044744403305413,0.7071053449556932,0.7040274466110636,0.7055630390977864
37,1,0.7795918367346939,0.9106406227538867,-293.54875798064876,0.31594740479640265,0.47864209775377736,0.7338451202249635,0.7044744403305413,0.7071053449556932,0.7040274466110636,0.7055630390977864
38,1,0.7979591836734694,0.8880104838796009,-324.27830282093043,0.2807081286720685,0.4784628037936764,0.7386387906503139,0.7086624804076288,0.7111377434167443,0.7083386194552089,0.7097354215820061
39,1,0.8163265306122449,0.8668287439320457,-350.0161840029212,0.25128987082557686,0.4783404353366614,0.7483509864221656,0.7174078999550202,0.7195908792015802,0.7173091899860639,0.7184482230184077
40,1,0.8346938775510204,0.84688568288277,-371.6009200569512,0.2264673843915871,0.483655584702141,0.7624459018678847,0.729511907968766,0.7313561167162514,0.7296603208724531,0.7305072346426789
41,1,0.8530612244897959,0.8280122883810569,-389.69518206199336,0.2053291106881519,0.483655584702141,0.7624459018678847,0.729511907968766,0.7313561167162514,0.7296603208724531,0.7305072346426789
42,1,0.8714285714285714,0.8100709085081634,-404.83216411722526,0.18718109287186105,0.483655584702141,0.7624459018678847,0.7295119079687661,0.7313561167162516,0.7296603208724531,0.7305072346426789
43,1,0.889795918367347,0.7929484658295705,-417.4454483921711,0.17148679347925644,0.48513862311436784,0.7671519157786633,0.7338124450289969,0.7357346259715337,0.7338519222504188,0.7347920681346063
44,1,0.9081632653061225,0.7765516231483295,-427.8926734631813,0.15782416746543979,0.48656376861763745,0.7819544158217028,0.7474000183350585,0.7489806482632774,0.7476789709734817,0.7483292435699124
45,1,0.926530612244898,0.7608027546296094,-436.4705133698512,0.14585805580890865,0.48860928774329204,0.7918606091235455,0.7565406914407444,0.7579290422322121,0.7569437776539427,0.7574360895378669
46,1,0.9448979591836735,0.7456370126985761,-443.4280516363424,0.13531862262721034,0.48867764155549465,0.7861908566838577,0.7454664486131153,0.7468050058676783,0.7460003650447127,0.7464024686004465
47,1,0.963265306122449,0.7309998337668405,-448.97553382299066,0.12598701364070827,0.48980480319940767,0.7958472013929327,0.7538903516278758,0.7550998969000214,0.7544908836710364,0.7547952674386231
48,1,0.9816326530612246,0.7168449390497814,-453.2915585908196,0.11768420453879319,0.49048387359347856,0.8010357948870499,0.7591885542198239,0.7603133650328031,0.7598346031394125,0.76007390869445
49,1,1.0,0.7031329976985462,-456.5294768717895,0.11026231941301085,0.4914423340724793,0.8059434878777137,0.7635951318913199,0.7646706427210305,0.7642579589442443,0.7644642451374599
50,2,0.1,1.0,2988.0,1.0,,,,,,
51,2,0.13877551020408163,1.0,2987.999999998293,1.0,,,,,,
52,2,0.17755102040816328,1.0,2987.999989762368,1.0,,,,,,
53,2,0.2163265306122449,1.0,2987.998269289005,1.0,-0.3034646965981862,0.0006787376425442987,0.019864843624641627,0.13914498819448853,0.015360497649178127,0.02766680098619904
54,2,0.25510204081632654,1.0,2987.9523291502537,1.0,0.24006991233655958,0.46386502742430635,0.522507165353143,0.6278888697209442,0.45051227983523534,0.524613027902592
55,2,0.29387755102040813,1.0,2987.5326618706513,1.0,0.2130146034137487,0.4512415904348529,0.5095806649827521,0.6332649335439746,0.4296084155802673,0.5119254236010935
56,2,0.3326530612244898,1.0,2985.576596758894,1.0,0.2416610258839199,0.46551471158581414,0.5197937728624206,0.6172381622910289,0.4520319524161287,0.5218725703983045
57,2,0.37142857142857144,1.0,2979.71415380138,1.0,0.18673242275206445,0.4560459169254387,0.49907772177261434,0.5937521166943365,0.4336830991440147,0.5012486512469932
58,2,0.4102040816326531,1.0,2966.697845228603,1.0,0.5172155318281723,0.44900812100083404,0.5069687316136963,0.6639759017567473,0.4114782949478153,0.5080861142733692
59,2,0.44897959183673475,1.0,2943.2696151743476,1.0,0.2365171660776986,0.4583483642450297,0.5166099390847266,0.6289617258607788,0.4414670151385776,0.5187937227711887
60,2,0.4877551020408163,1.0,2906.9989699632506,1.0,0.08947345463208313,0.444424155029234,0.4945659256867937,0.6413203609733485,0.4058958126990708,0.4971452039455731
61,2,0.5265306122448979,1.0,2856.7249560713376,1.0,0.2075604884889291,0.4585964700243278,0.5127431574308828,0.6425795145596657,0.4298085160344362,0.5150862182488395
62,2,0.5653061224489796,1.0,2792.574902643068,1.0,0.27936202283781636,0.38977367047016626,0.4426537236541553,0.4871193709442634,0.40939440935063814,0.4448876337079439
